"filename", "language", "JavaScript", "JSON", "TypeScript", "HTML", "CSS", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\MarekP\RPi\src\web\public\js\utils\config.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 3, 1, 41
"c:\Users\MarekP\RPi\src\web\public\js\utils\firebase.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 1, 1, 64
"c:\Users\MarekP\RPi\src\web\public\js\utils\page-creator.js", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 3, 1, 93
"c:\Users\MarekP\RPi\src\web\public\js\utils\page-manager.js", "JavaScript", 128, 0, 0, 0, 0, 0, 0, 2, 1, 131
"c:\Users\MarekP\RPi\src\web\public\js\utils\router.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 1, 63
"c:\Users\MarekP\RPi\src\web\public\js\utils\singleton.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\MarekP\RPi\src\web\public\js\utils\url-manager.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\MarekP\RPi\src\web\public\js\utils\utils.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\MarekP\RPi\src\web\public\server-copy-with-comments.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 95, 8, 118
"c:\Users\MarekP\RPi\src\web\public\server.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 7, 1, 18
"c:\Users\MarekP\RPi\src\web\public\vanoce.html", "HTML", 0, 0, 0, 67, 0, 0, 0, 4, 13, 84
"c:\Users\MarekP\RPi\src\web\server.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 7, 1, 18
"c:\Users\MarekP\RPi\src\web\ts\app.ts", "TypeScript", 0, 0, 100, 0, 0, 0, 0, 1, 12, 113
"c:\Users\MarekP\RPi\src\web\ts\app\app-router.ts", "TypeScript", 0, 0, 105, 0, 0, 0, 0, 0, 15, 120
"c:\Users\MarekP\RPi\src\web\ts\app\config.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 3, 11, 50
"c:\Users\MarekP\RPi\src\web\ts\app\firebase.ts", "TypeScript", 0, 0, 66, 0, 0, 0, 0, 1, 13, 80
"c:\Users\MarekP\RPi\src\web\ts\app\page-creator.ts", "TypeScript", 0, 0, 101, 0, 0, 0, 0, 1, 16, 118
"c:\Users\MarekP\RPi\src\web\ts\app\page-manager.ts", "TypeScript", 0, 0, 124, 0, 0, 0, 0, 2, 21, 147
"c:\Users\MarekP\RPi\src\web\ts\app\singleton.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\MarekP\RPi\src\web\ts\app\url-manager.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 2, 26
"c:\Users\MarekP\RPi\src\web\ts\app\utils.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\Users\MarekP\RPi\src\web\ts\components\component.ts", "TypeScript", 0, 0, 167, 0, 0, 0, 0, 27, 30, 224
"c:\Users\MarekP\RPi\src\web\ts\components\dialogs\base-dialog.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
